Region,District,PovertyIncidence,S.E.-P.I.,PovertyGap,S.E-P.G.,PovertySeverity,S.E.-P.S.
Eastern,Taplejung,0.518,0.025,0.17,0.012,0.075,0.007
Eastern,Panchthar,0.525,0.022,0.17,0.011,0.074,0.006
Eastern,Ilam,0.397,0.017,0.121,0.008,0.051,0.005
Eastern,Jhapa,0.134,0.013,0.031,0.004,0.011,0.001
Eastern,Morang,0.172,0.011,0.041,0.003,0.015,0.001
Eastern,Sunsari,0.212,0.014,0.052,0.004,0.019,0.002
Eastern,Dhankuta,0.46,0.021,0.144,0.01,0.062,0.005
Eastern,Terhathum,0.425,0.022,0.13,0.01,0.055,0.005
Eastern,Sankhuwasabha,0.487,0.026,0.151,0.011,0.064,0.006
Eastern,Bhojpur,0.525,0.021,0.168,0.01,0.073,0.006
Eastern,Solukhumbu,0.463,0.037,0.141,0.016,0.059,0.008
Eastern,Okhaldhunga,0.427,0.034,0.128,0.014,0.053,0.007
Eastern,Khotang,0.535,0.023,0.175,0.012,0.077,0.007
Eastern,Udayapur,0.508,0.021,0.161,0.01,0.069,0.006
Eastern,Saptari,0.28,0.017,0.068,0.005,0.024,0.002
Eastern,Siraha,0.29,0.018,0.07,0.006,0.025,0.003
Central,Dhanusa,0.269,0.019,0.063,0.006,0.022,0.002
Central,Mahottari,0.291,0.023,0.069,0.008,0.024,0.003
Central,Sarlahi,0.264,0.022,0.061,0.007,0.021,0.003
Central,Sindhuli,0.603,0.018,0.209,0.012,0.094,0.007
Central,Ramechhap,0.48,0.023,0.148,0.011,0.063,0.006
Central,Dolakha,0.336,0.017,0.092,0.007,0.036,0.003
Central,Sindhupalchok,0.37,0.016,0.102,0.006,0.04,0.003
Central,Kavrepalanchok,0.351,0.014,0.111,0.007,0.048,0.004
Central,Lalitpur,0.101,0.009,0.028,0.003,0.011,0.001
Central,Bhaktapur,0.087,0.014,0.02,0.004,0.007,0.002
Central,Kathmandu,0.044,0.007,0.01,0.002,0.004,0.001
Central,Nuwakot,0.374,0.016,0.109,0.007,0.044,0.004
Central,Rasuwa,0.509,0.026,0.162,0.014,0.069,0.008
Central,Dhading,0.433,0.017,0.133,0.008,0.056,0.004
Central,Makwanpur,0.43,0.016,0.141,0.01,0.062,0.006
Central,Rautahat,0.302,0.021,0.071,0.007,0.025,0.003
Central,Bara,0.269,0.022,0.063,0.007,0.022,0.003
Central,Parsa,0.235,0.019,0.055,0.006,0.019,0.002
Central,Chitawan,0.119,0.01,0.029,0.003,0.011,0.001
Western,Gorkha,0.382,0.017,0.112,0.007,0.046,0.004
Western,Lamjung,0.315,0.016,0.091,0.006,0.037,0.003
Western,Tanahu,0.346,0.019,0.105,0.008,0.044,0.005
Western,Syangja,0.351,0.02,0.105,0.009,0.044,0.005
Western,Kaski,0.111,0.008,0.029,0.003,0.012,0.001
Western,Manang,0.212,0.048,0.051,0.015,0.018,0.006
Western,Mustang,0.258,0.043,0.064,0.015,0.023,0.007
Western,Myagdi,0.348,0.021,0.098,0.008,0.039,0.004
Western,Parbat,0.341,0.017,0.1,0.007,0.041,0.004
Western,Baglung,0.402,0.018,0.12,0.008,0.05,0.004
Western,Gulmi,0.425,0.019,0.131,0.009,0.056,0.005
Western,Palpa,0.429,0.02,0.135,0.01,0.058,0.006
Western,Nawalparasi,0.363,0.017,0.109,0.007,0.045,0.004
Western,Rupandehi,0.3,0.02,0.084,0.008,0.034,0.004
Western,Kapilbastu,0.401,0.026,0.115,0.011,0.046,0.005
Western,Arghakhanchi,0.441,0.02,0.137,0.009,0.059,0.005
Midwest,Pyuthan,0.515,0.023,0.164,0.012,0.071,0.007
Midwest,Rolpa,0.587,0.025,0.184,0.013,0.078,0.007
Midwest,Rukum,0.491,0.029,0.143,0.013,0.058,0.006
Midwest,Salyan,0.455,0.025,0.133,0.011,0.054,0.006
Midwest,Dang,0.429,0.018,0.127,0.008,0.052,0.004
Midwest,Banke,0.412,0.024,0.124,0.011,0.051,0.006
Midwest,Bardiya,0.449,0.026,0.128,0.011,0.051,0.005
Midwest,Surkhet,0.47,0.018,0.147,0.009,0.062,0.005
Midwest,Dailekh,0.516,0.021,0.159,0.01,0.067,0.006
Midwest,Jajarkot,0.441,0.025,0.124,0.011,0.049,0.005
Midwest,Dolpa,0.397,0.054,0.105,0.02,0.04,0.009
Midwest,Jumla,0.344,0.044,0.086,0.014,0.031,0.006
Midwest,Kalikot,0.568,0.061,0.18,0.029,0.076,0.016
Midwest,Mugu,0.51,0.04,0.155,0.018,0.065,0.01
Midwest,Humla,0.415,0.043,0.111,0.015,0.042,0.007
Far West,Bajura,0.482,0.022,0.148,0.01,0.063,0.006
Far West,Bajhang,0.473,0.025,0.143,0.011,0.06,0.006
Far West,Achham,0.516,0.023,0.16,0.011,0.068,0.006
Far West,Doti,0.464,0.024,0.143,0.011,0.061,0.006
Far West,Kailali,0.504,0.026,0.155,0.012,0.065,0.007
Far West,Kanchanpur,0.424,0.024,0.128,0.011,0.054,0.006
Far West,Dadeldhura,0.403,0.024,0.119,0.01,0.049,0.005
Far West,Baitadi,0.368,0.025,0.101,0.01,0.04,0.005
Far West,Darchula,0.377,0.024,0.109,0.01,0.044,0.005
