District,Population,FGT(0),S.E.FGT(0),FGT(1),S.E.FGT(1),FGT(2),S.E.FGT(2)
Achham,256102,0.472,0.102,0.127,0.04,0.047,0.018
Arghakhanchi,196873,0.288,0.05,0.069,0.016,0.024,0.007
Baglung,266622,0.229,0.04,0.053,0.012,0.018,0.005
Baitadi,250065,0.457,0.101,0.123,0.039,0.046,0.018
Bajhang,194515,0.568,0.112,0.162,0.05,0.063,0.024
Bajura,134062,0.641,0.105,0.199,0.055,0.082,0.029
Banke,484592,0.264,0.073,0.066,0.025,0.024,0.011
Bara,680094,0.299,0.019,0.072,0.007,0.025,0.003
Bardiya,422812,0.287,0.082,0.071,0.026,0.025,0.011
Bhaktapur,296705,0.125,0.014,0.029,0.004,0.01,0.002
Bhojpur,181203,0.244,0.028,0.048,0.007,0.014,0.003
Chitawan,567992,0.089,0.011,0.017,0.003,0.005,0.001
Dadeldhura,140779,0.433,0.101,0.118,0.039,0.045,0.018
Dailekh,260826,0.358,0.1,0.088,0.034,0.031,0.014
Dang,547926,0.251,0.08,0.059,0.026,0.02,0.011
Darchula,132081,0.53,0.109,0.152,0.048,0.059,0.024
Dhading,333978,0.188,0.018,0.038,0.005,0.012,0.002
Dhankuta,161288,0.159,0.019,0.029,0.005,0.008,0.002
Dhanusa,752253,0.231,0.018,0.046,0.005,0.014,0.002
Dolakha,184931,0.26,0.03,0.057,0.009,0.018,0.004
Dolpa,36110,0.428,0.106,0.11,0.039,0.04,0.017
Doti,206671,0.489,0.101,0.135,0.042,0.052,0.02
Gorkha,268862,0.204,0.039,0.049,0.011,0.018,0.005
Gulmi,279005,0.256,0.048,0.059,0.015,0.02,0.006
Humla,49914,0.56,0.103,0.166,0.048,0.067,0.024
Ilam,287734,0.073,0.011,0.012,0.002,0.003,0.001
Jajarkot,170090,0.377,0.104,0.09,0.035,0.031,0.014
Jhapa,807308,0.106,0.011,0.019,0.003,0.005,0.001
Jumla,107395,0.49,0.113,0.131,0.045,0.049,0.021
Kailali,765487,0.336,0.091,0.084,0.031,0.03,0.013
Kalikot,135939,0.579,0.101,0.168,0.047,0.066,0.023
Kanchanpur,447645,0.314,0.08,0.08,0.028,0.029,0.012
Kapilbastu,568692,0.355,0.052,0.089,0.018,0.032,0.008
Kaski,480851,0.04,0.011,0.008,0.003,0.003,0.001
Kathmandu,1688131,0.076,0.006,0.015,0.002,0.005,0.001
Kavrepalanchok,375040,0.139,0.019,0.025,0.005,0.007,0.002
Khotang,205176,0.25,0.027,0.05,0.007,0.015,0.003
Lalitpur,453466,0.076,0.008,0.015,0.002,0.005,0.001
Lamjung,166141,0.168,0.033,0.039,0.009,0.013,0.004
Mahottari,621023,0.162,0.029,0.035,0.009,0.011,0.004
Makwanpur,414476,0.279,0.02,0.073,0.008,0.027,0.004
Manang,5827,0.369,0.056,0.099,0.02,0.038,0.009
Morang,958579,0.165,0.011,0.033,0.003,0.01,0.001
Mugu,54789,0.471,0.115,0.125,0.045,0.047,0.021
Mustang,11585,0.4,0.055,0.109,0.02,0.042,0.009
Myagdi,109598,0.286,0.044,0.073,0.015,0.027,0.007
Nawalparasi,638836,0.17,0.031,0.038,0.009,0.013,0.003
Nuwakot,275344,0.203,0.019,0.042,0.005,0.013,0.002
Okhaldhunga,146782,0.205,0.023,0.041,0.006,0.012,0.002
Palpa,258842,0.216,0.038,0.052,0.012,0.018,0.005
Panchthar,190394,0.114,0.02,0.019,0.004,0.005,0.001
Parbat,145657,0.127,0.029,0.025,0.007,0.008,0.002
Parsa,592108,0.292,0.02,0.071,0.007,0.025,0.003
Pyuthan,226128,0.322,0.087,0.079,0.029,0.028,0.012
Ramechhap,201202,0.256,0.023,0.056,0.007,0.018,0.003
Rasuwa,42125,0.316,0.043,0.072,0.015,0.024,0.006
Rautahat,680659,0.334,0.018,0.083,0.006,0.029,0.003
Rolpa,221170,0.26,0.087,0.056,0.025,0.018,0.009
Rukum,207279,0.263,0.092,0.058,0.026,0.019,0.01
Rupandehi,873314,0.173,0.029,0.041,0.009,0.014,0.004
Salyan,241685,0.288,0.088,0.063,0.026,0.021,0.01
Sankhuwasabha,158139,0.21,0.031,0.041,0.008,0.012,0.003
Saptari,637071,0.395,0.019,0.1,0.008,0.036,0.004
Sarlahi,765959,0.177,0.018,0.036,0.005,0.011,0.002
Sindhuli,292988,0.383,0.031,0.099,0.012,0.036,0.006
Sindhupalchok,285652,0.254,0.031,0.054,0.009,0.017,0.004
Siraha,634844,0.346,0.019,0.08,0.007,0.027,0.003
Solukhumbu,105080,0.257,0.03,0.057,0.009,0.019,0.004
Sunsari,750319,0.12,0.014,0.022,0.004,0.006,0.001
Surkhet,343160,0.305,0.085,0.075,0.029,0.026,0.012
Syangja,288097,0.118,0.027,0.024,0.007,0.007,0.002
Tanahu,320532,0.148,0.028,0.033,0.008,0.011,0.003
Taplejung,126404,0.27,0.034,0.055,0.01,0.017,0.004
Terhathum,100805,0.146,0.02,0.025,0.005,0.007,0.002
Udayapur,315251,0.259,0.022,0.058,0.007,0.019,0.003
