"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
48349,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",""," ","Jilla","District"
48350,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",61,"Mustang",""," ","Jilla","District"
48351,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",62,"Myagdi",""," ","Jilla","District"
48352,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",63,"Parbat","","Parwat","Jilla","District"
48353,157,"NPL","Nepal",1,"Central",1,"Bagmati",1,"Bhaktapur","","Bhadgaon| Khwopa|Bhaktapur Jilla","Jilla","District"
48354,157,"NPL","Nepal",1,"Central",1,"Bagmati",2,"Dhading",""," ","Jilla","District"
48355,157,"NPL","Nepal",1,"Central",1,"Bagmati",3,"Kathmandu","","KTM","Jilla","District"
48356,157,"NPL","Nepal",1,"Central",1,"Bagmati",4,"Kavrepalanchok","","Kavrepalanchowk, Kavreplanchok","Jilla","District"
48357,157,"NPL","Nepal",1,"Central",1,"Bagmati",5,"Lalitpur","","Patan","Jilla","District"
48358,157,"NPL","Nepal",1,"Central",1,"Bagmati",6,"Nuwakot",""," ","Jilla","District"
48359,157,"NPL","Nepal",1,"Central",1,"Bagmati",7,"Rasuwa",""," ","Jilla","District"
48360,157,"NPL","Nepal",1,"Central",1,"Bagmati",8,"Sindhupalchok",""," ","Jilla","District"
48361,157,"NPL","Nepal",1,"Central",2,"Janakpur",9,"Dhanusa","","Dhanusha","Jilla","District"
48362,157,"NPL","Nepal",1,"Central",2,"Janakpur",10,"Dolakha","","Dolkha","Jilla","District"
48363,157,"NPL","Nepal",1,"Central",2,"Janakpur",11,"Mahottari","","Mahotari","Jilla","District"
48364,157,"NPL","Nepal",1,"Central",2,"Janakpur",12,"Ramechhap","","Ramechap","Jilla","District"
48365,157,"NPL","Nepal",1,"Central",2,"Janakpur",13,"Sarlahi",""," ","Jilla","District"
48366,157,"NPL","Nepal",1,"Central",2,"Janakpur",14,"Sindhuli",""," ","Jilla","District"
48367,157,"NPL","Nepal",1,"Central",3,"Narayani",15,"Bara",""," ","Jilla","District"
48368,157,"NPL","Nepal",1,"Central",3,"Narayani",17,"Makwanpur","","Makawanpur","Jilla","District"
48369,157,"NPL","Nepal",1,"Central",3,"Narayani",18,"Parsa",""," ","Jilla","District"
48370,157,"NPL","Nepal",1,"Central",3,"Narayani",19,"Rautahat",""," ","Jilla","District"
48371,157,"NPL","Nepal",1,"Central",3,"Narayani",35,"Chitawan","","","",""
48372,157,"NPL","Nepal",2,"East",4,"Koshi",20,"Bhojpur",""," ","Jilla","District"
48373,157,"NPL","Nepal",2,"East",4,"Koshi",21,"Dhankuta",""," ","Jilla","District"
48374,157,"NPL","Nepal",2,"East",4,"Koshi",22,"Morang",""," ","Jilla","District"
48375,157,"NPL","Nepal",2,"East",4,"Koshi",23,"Sankhuwasabha",""," ","Jilla","District"
48376,157,"NPL","Nepal",2,"East",4,"Koshi",24,"Sunsari",""," ","Jilla","District"
48377,157,"NPL","Nepal",2,"East",4,"Koshi",25,"Terhathum","","Terathum","Jilla","District"
48378,157,"NPL","Nepal",2,"East",5,"Mechi",26,"Ilam",""," ","Jilla","District"
48379,157,"NPL","Nepal",2,"East",5,"Mechi",27,"Jhapa",""," ","Jilla","District"
48380,157,"NPL","Nepal",2,"East",5,"Mechi",28,"Panchthar","","Panchathar","Jilla","District"
48381,157,"NPL","Nepal",2,"East",5,"Mechi",29,"Taplejung",""," ","Jilla","District"
48382,157,"NPL","Nepal",2,"East",6,"Sagarmatha",30,"Khotang",""," ","Jilla","District"
48383,157,"NPL","Nepal",2,"East",6,"Sagarmatha",31,"Okhaldhunga",""," ","Jilla","District"
48384,157,"NPL","Nepal",2,"East",6,"Sagarmatha",32,"Saptari",""," ","Jilla","District"
48385,157,"NPL","Nepal",2,"East",6,"Sagarmatha",33,"Siraha",""," ","Jilla","District"
48386,157,"NPL","Nepal",2,"East",6,"Sagarmatha",34,"Solukhumbu","","Solukhombu","Jilla","District"
