"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
20488,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",119,"Chhisti","","Village development committee","Village development committee"
20489,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",120,"Taman","","Village development committee","Village development committee"
20490,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",121,"Ranasinkiteni","","Village development committee","Village development committee"
20491,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",122,"Rajkut","","Village development committee","Village development committee"
20492,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",123,"Pandavkhani","","Village development committee","Village development committee"
20493,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",124,"Palakot","","Village development committee","Village development committee"
20494,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",125,"Tara","","Village development committee","Village development committee"
20495,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",126,"Nisi","","Village development committee","Village development committee"
20496,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",127,"Tangram","","Village development committee","Village development committee"
20497,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",128,"Khunga","","Village development committee","Village development committee"
20498,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",129,"Heel","","Village development committee","Village development committee"
20499,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",130,"Bhinggithe","","Village development committee","Village development committee"
20500,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",131,"Bhimpokhara","","Village development committee","Village development committee"
20501,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",132,"Arjewa","","Village development committee","Village development committee"
20502,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",133,"Sunkhani","","Village development committee","Village development committee"
20503,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",134,"Darling","","Village development committee","Village development committee"
20504,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",135,"Devisthan","","Village development committee","Village development committee"
20505,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",136,"Argal","","Village development committee","Village development committee"
20506,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",137,"Malikathota","","Village development committee","Village development committee"
20507,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",138,"Amarbhumi","","Village development committee","Village development committee"
20508,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",139,"Akhikarichaur","","Village development committee","Village development committee"
20509,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",140,"Lekhani","","Village development committee","Village development committee"
20510,157,"NPL","Nepal",NA,"",8,"Dhaualagiri",60,"Baglung",141,"Batakachaur","","Village development committee","Village development committee"
